source,dataset,subject_key,bytes,fps,frames,duration_seconds,pose_dimensions,screen_hz,max_seated_seconds,max_low_speed_seated_seconds,complete_transition_proxies,sha256,split,group_key
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A4 - look_poses.npz,ACCAD,ACCAD/Female1General_c3d,3412344,120.0,2553,21.275,156,10.0,0,0,0,1021039efc43b057abd1903785454e8bc1505d76505dc1ca4353bf5f312004ec,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A5 - pick up box_poses.npz,ACCAD,ACCAD/Female1General_c3d,1008880,120.0,754,6.283333333333333,156,10.0,0,0,0,11017c2dbe2799a41d04be3afe51e520565766805d97f340e84e89ae5e639345,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A6 - lift box_poses.npz,ACCAD,ACCAD/Female1General_c3d,1345552,120.0,1006,8.383333333333333,156,10.0,0,0,0,e57346745dd22273ed9cafbcf02718a94613a2efe84c42dee7720182e7ca3700,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A6- lift box t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,1135800,120.0,849,7.075,156,10.0,0,0,0,5a8b71aae593027fc39c454d121724b565c224946dfe0b3f5e873e920630bad8,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A7 - crouch_poses.npz,ACCAD,ACCAD/Female1General_c3d,813824,120.0,608,5.066666666666666,156,10.0,0,0,0,5139418679e58d913935bac1a563042b13e3c65830ab3875389ccc42d109b1ad,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A8 - crouch to lie_poses.npz,ACCAD,ACCAD/Female1General_c3d,1034264,120.0,773,6.441666666666666,156,10.0,0,0,0,34caae19106844db24408b0105d14928f87a709009431c8b2329cdd1beb218d5,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1General_c3d/A9 - lie t2_poses.npz,ACCAD,ACCAD/Female1General_c3d,1265392,120.0,946,7.883333333333334,156,10.0,0,0,0,ec856e113c4cda4f9e392dc9875e10a179696c759169878bb5b7c8c0bfa04aee,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D1 - Urban 1_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,2463784,120.0,1843,15.358333333333333,156,10.0,0,0,0,841792d19407066986c6c17d0a633f2874a90c53e1ef85932e8f5a29bc05d22e,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D2 - Wait 1_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,6179200,120.0,4624,38.53333333333333,156,10.0,0,0,0,e607808b869a1b1c2cd15c6e6958b6a24c0811ba4f06ba0f931fac92c0848deb,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D3 - Conversation Gestures_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,8132432,120.0,6086,50.71666666666667,156,10.0,0,0,0,7a3b1d0adc7dbbd261dc43c671a1cbd626e3b17d3c578f36996877bc5c56029d,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D5 - Random Stuff 2_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,2668192,120.0,1996,16.633333333333333,156,10.0,0,0,0,2fde2b02b0e5d967fdeccb629427e51df2cbdd3623cc548904720a52480562c1,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/D6- CartWheel_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,765728,120.0,572,4.766666666666667,156,10.0,0,0,0,d7a393b5e83949850d56e52a16d5a3142968da4bb6811737b33c742e524a8df6,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Gestures_c3d/Female1 Subj Calibration_poses.npz,ACCAD,ACCAD/Female1Gestures_c3d,482496,120.0,360,3.0,156,10.0,0,0,0,dc7f8154d1d4832e63448ec619973a6052bf663f98269ffc86338207b0cc4d96,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C10 -  run backwards stop run forward_poses.npz,ACCAD,ACCAD/Female1Running_c3d,816496,120.0,610,5.083333333333333,156,10.0,0,0,0,729b5cbffa5473ebe02fc1f04922063dd28ec69ddbfa426f3c1ec02cea738830,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C11 -  run turn left (90)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,372944,120.0,278,2.316666666666667,156,10.0,0,0,0,978a5b19cee10e0802017d108b87ad95cd9e6db5f5d334b354d6f69808b50df2,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C13 -  run turn left (135)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,461120,120.0,344,2.8666666666666667,156,10.0,0,0,0,93e11a7f6aeefaf8c59253d761b636ce2e5e9411a1be5e36e8945d5d9c2a44f0,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C14 -  run turn right  (90)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,684232,120.0,511,4.258333333333334,156,10.0,0,0,0,abb998655bd0f48e64ca5f0d210e5bb94de6b8d6652dec8ace8a579ab6e34c10,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C15 -  run turn right  (45)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,340880,120.0,254,2.1166666666666667,156,10.0,0,0,0,c50ac0873c66eb00cbe8ef1d6ca4334fd1ed1c2ebcc8b0b31624fb628b91b4a9,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C16 -  run turn right  (135)_poses.npz,ACCAD,ACCAD/Female1Running_c3d,376952,120.0,281,2.341666666666667,156,10.0,0,0,0,f8804651568401f5ef31ad45bb649fe7051bdaeb2c65977c7fa47fcf851d6d51,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C19 -  run to hop to walk_poses.npz,ACCAD,ACCAD/Female1Running_c3d,676216,120.0,505,4.208333333333333,156,10.0,0,0,0,a32a8652f2bbb60aebacc3c4710a99fb68c6bab2f47e2f7aac02c25e5868220b,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C2 - Run to stand_poses.npz,ACCAD,ACCAD/Female1Running_c3d,855240,120.0,639,5.325,156,10.0,0,0,0,1945578d761349023ace168558519b0345ebae25a39a5202fef4d1dbd30a06e2,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C20 -  run to jump to walk_poses.npz,ACCAD,ACCAD/Female1Running_c3d,642816,120.0,480,4.0,156,10.0,0,0,0,65f4173f514f1b1edc3c7e34e623ddc79cc6e32da4e25a604f0fad7a2ae6fc9d,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C21 -  run to pick up box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,773744,120.0,578,4.816666666666666,156,10.0,0,0,0,37c825409859924306c837f50601d02bcd4644c2bed3a1f0e12e707bde4feca9,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C21 s2 -  run to pick up box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,411688,120.0,307,2.558333333333333,156,10.0,0,0,0,cdc30109bfa0ec6bbefbe351e18ee00f0aa8ff81db5a07c8652fdf9a91534cae,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C22 -  run with box_poses.npz,ACCAD,ACCAD/Female1Running_c3d,319504,120.0,238,1.9833333333333334,156,10.0,0,0,0,64641e6377398709997c1bae4290231a1cc51b0ead930e2a7a47cf679bfc05c5,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C24 -  side step left_poses.npz,ACCAD,ACCAD/Female1Running_c3d,637472,120.0,476,3.966666666666667,156,10.0,0,0,0,a0e477eb30a220b9c6d51546aecfab988c6066a2f4898982d511f7c1207a0fe8,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C25 -  side step right_poses.npz,ACCAD,ACCAD/Female1Running_c3d,689576,120.0,515,4.291666666666667,156,10.0,0,0,0,188c98644f8d84a7d2e09b3141b2f249abed9759d9081f320813e3d6a1540b68,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C26 -  run to crouch_poses.npz,ACCAD,ACCAD/Female1Running_c3d,482496,120.0,360,3.0,156,10.0,0,0,0,970e4d84f2e64a5a22d0b29e4969a837b572f1fdd8136726d9805b9e663d18a1,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C27 - crouch to run1_poses.npz,ACCAD,ACCAD/Female1Running_c3d,517232,120.0,386,3.216666666666667,156,10.0,0,0,0,890b1156192d113cfa89dc41e0faaa54ec480db90565f990894b18d533ab4ea7,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C3 - Run_poses.npz,ACCAD,ACCAD/Female1Running_c3d,272744,120.0,203,1.6916666666666667,156,10.0,0,0,0,97ee81682cda69563d14ccc24600eb40b468949a77df5fe7b3a94974cfc10a93,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C4 - Run to walk1_poses.npz,ACCAD,ACCAD/Female1Running_c3d,568000,120.0,424,3.533333333333333,156,10.0,0,0,0,7e994d31a837f26112605b6bc46b9e97bded16a58008191372effd7b1a910e5e,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C5 - walk to run_poses.npz,ACCAD,ACCAD/Female1Running_c3d,869936,120.0,650,5.416666666666667,156,10.0,0,0,0,dc2f2d70b6776aeb29062745b2cfa970cb1236bc5277a0206f547af1522b457a,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C6 - stand to run backwards_poses.npz,ACCAD,ACCAD/Female1Running_c3d,1201264,120.0,898,7.483333333333333,156,10.0,0,0,0,158f9b7f72781c41a70d9e42a37e585a4ee20f46ad16488389ac0f4e4708d584,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C7 -  run backwards_poses.npz,ACCAD,ACCAD/Female1Running_c3d,497192,120.0,371,3.091666666666667,156,10.0,0,0,0,d711cdd21058ea773c331db6cb055171bf98bbb152cf17dfb5d4e5c6b0545e58,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C8 -  run backwards to stand_poses.npz,ACCAD,ACCAD/Female1Running_c3d,708280,120.0,529,4.408333333333333,156,10.0,0,0,0,487eab0922852bcd5a5807b60121025212cc9d9e4fe7a62054082557dae1f589,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C9 -  run backwards turn run forward_poses.npz,ACCAD,ACCAD/Female1Running_c3d,368936,120.0,275,2.2916666666666665,156,10.0,0,0,0,4ee5544c330787e8b220bf060f37471f44358749e7d5f475fe5e7c93bae2cc82,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B1 - stand to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,999528,120.0,747,6.225,156,10.0,0,0,0,20c99cf6d9c7be4f75706ac2b534c95943ef642ce18b77cdf179c18fd873dc6f,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B10 - walk turn left (45)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1270736,120.0,950,7.916666666666667,156,10.0,0,0,0,fb26b2c818cc59d81bc8e76ece5f13c05b8801ab0562de2ed567bb70d7cab370,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B11 - walk turn left (135)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1501864,120.0,1123,9.358333333333333,156,10.0,0,0,0,08573cf65bb4a3b5e1f133e1db4b308e89684ab8fef0c56b34429d7423022438,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B12 - walk turn right (90)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1245352,120.0,931,7.758333333333334,156,10.0,0,0,0,5dbf6f643f5346a5edcc0a6c74b4dfc946c5e18e4b0e53ac988e1a2721777963,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B13 - walk turn right (45)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1333528,120.0,997,8.308333333333334,156,10.0,0,0,0,7729956f556612cddd36b7d4b6ff59f30b9bc0e4c7aa7e684ccf4a46a591dd49,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B14 - walk turn right (135)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1439072,120.0,1076,8.966666666666667,156,10.0,0,0,0,c276ad25a41869b1342ec1140ea0c9eb487fe73aee1d74b7a6c1ebca867073a7,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B15 - walk turn around (same direction)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1702264,120.0,1273,10.608333333333333,156,10.0,0,0,0,d4a482eed564e8525572a2f750abfdc031bb0d63a31464bfc17f26ad5377702f,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B16 - walk turn change direction_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1769064,120.0,1323,11.025,156,10.0,0,0,0,f2682af589c9df27fc8409612394bca35389a5cc27261092388d98fe4025c796,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B17 - walk to hop to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1008880,120.0,754,6.283333333333333,156,10.0,0,0,0,6e8978a4c9e4b08bb347ec9cb71e17adcc1140268a2db2c9e4d3a1cd540c1d82,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B18 - walk to leap to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,914024,120.0,683,5.691666666666666,156,10.0,0,0,0,034ac2f904cace098f8763522db70182b33b338405e572e1432d7b08eb80380a,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B19 - walk to pick up box_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1110416,120.0,830,6.916666666666667,156,10.0,0,0,0,3b23958e2662cf92ab42fe614daee52d0f4a21790382e772b14e0edda9ece3aa,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B2 - walk to stand t2_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,787104,120.0,588,4.9,156,10.0,0,0,0,ebf1bfec6202309eb5ac3a6d930ba94762bcd1104a034a67d38c046ab33a8344,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B2 - walk to stand_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,912688,120.0,682,5.683333333333334,156,10.0,0,0,0,a5fad8b7037a77395c33c1189159d8a616a21f300c587c806e0d482dbeaab382,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B20 - walk with box_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,688240,120.0,514,4.283333333333333,156,10.0,0,0,0,58fce8e25bb82655274641a0c307db969ca9fa870c05151bc94c9b41aa4366e0,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B21 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1512552,120.0,1131,9.425,156,10.0,0,0,0,5bae287bf991a0be82bb187c5160f74719ae1269601248d71900214bed11b419,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B21 s2 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1841208,120.0,1377,11.475,156,10.0,0,0,0,a482041665c1d4735ce9abab7187351ea5c3fc4fbea309238b2a0edb3baa48fc,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B21 s3 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1723640,120.0,1289,10.741666666666667,156,10.0,0,0,0,6f6129ab548e15b019329a19a1fdf82dd6e5c586f596cc45922c7e517c0b0d1f,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B22 - side step left_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1475144,120.0,1103,9.191666666666666,156,10.0,0,0,0,4a771de243ea899c56da9316de02b96890a482134b11100d9141e86aff5b02a7,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B23 - side step right_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1336200,120.0,999,8.325,156,10.0,0,0,0,ffea4fe600695af2c2359edc652a96a91f3776be7cc805785e84803018089555,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B24 - walk to crouch_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1135800,120.0,849,7.075,156,10.0,0,0,0,816cb32c5f18d06d242419ea4aa686544027fbc3fc54fc8b84f3e8cd99ddd513,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B25 - crouch to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,950096,120.0,710,5.916666666666667,156,10.0,0,0,0,9763026364db258be6be987f049e1cca32c40ad0cd971bc8d9bd58b85d5f4928,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B27 -skip to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1081024,120.0,808,6.733333333333333,156,10.0,0,0,0,a4e52bd9fa26f3c634ac1ea49039f686f8f0dc492eccdf1131417a664ec421a4,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B3 - walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1223976,120.0,915,7.625,156,10.0,0,0,0,3ba0cbdf6e152618deaf208583748e829641041b5b94c822f30cd4df0722c739,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B4 - stand to walk back_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1211952,120.0,906,7.55,156,10.0,0,0,0,e0805eae4a0c760ef0fff8d85855fe164ec2c84be76d32bc8a39a0dba9ca0e92,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B5 - walk backwards_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1850560,120.0,1384,11.533333333333333,156,10.0,0,0,0,a1ef9748f29f7e7e72a0025b6f36a6447ed949a1568d0fbfe45c973f6b7bfcff,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B6 - walk backwards to stand_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1312152,120.0,981,8.175,156,10.0,0,0,0,50b3ef1e0759d76c33cae868883f07d907052ac178fb705b476dc6305bd80bab,train,ACCAD_all_identity_aliases_train_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B7 - walk backwards turn forwards_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1389640,120.0,1039,8.658333333333333,156,10.0,0,0,0,77924b18410b0ba7c9267156f6638fe04ba2bfb821edfaba1e282f5a133cc8ae,train,ACCAD_all_identity_aliases_train_only
