source,subject_id,sequence_id,split,region,start_frame,end_frame_exclusive,duration_seconds,max_speed_deg_s,annotation_status,pose_semantics
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,3106,3253,2.45,4.777097292391889,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,1956,2097,2.35,4.751855922714479,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,05,validation,lower_body,5184,5324,2.3333333333333335,3.9787986330008263,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,05,validation,trunk,5184,5324,2.3333333333333335,3.3294773688398283,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/05.pkl,s_01,05,train,lower_body,590,727,2.283333333333333,4.64133470763746,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,lower_body,3166,3301,2.25,4.778506512946199,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_06/05.pkl,s_06,05,train,lower_body,2849,2983,2.2333333333333334,4.989494588508765,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/05.pkl,s_01,05,train,lower_body,1908,2040,2.2,4.968524225583089,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/05.pkl,s_01,05,train,lower_body,2394,2524,2.1666666666666665,4.179533126561823,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,lower_body,4999,5125,2.1,4.902878837118389,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,1232,1354,2.033333333333333,4.670689279496577,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,2897,3019,2.033333333333333,4.437841946358773,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,trunk,3106,3228,2.033333333333333,4.8802020530971255,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_04/05.pkl,s_04,05,train,lower_body,778,899,2.0166666666666666,3.6799020631932895,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_04/05.pkl,s_04,05,train,lower_body,5541,5661,2.0,3.6995252401026737,candidate_not_reviewed,unknown
