source,dataset,subject_key,bytes,fps,frames,duration_seconds,pose_dimensions,screen_hz,max_seated_seconds,max_low_speed_seated_seconds,complete_transition_proxies
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C24 -  side step left_poses.npz,ACCAD,ACCAD/Female1Running_c3d,637472,120.0,476,3.966666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C25 -  side step right_poses.npz,ACCAD,ACCAD/Female1Running_c3d,689576,120.0,515,4.291666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C26 -  run to crouch_poses.npz,ACCAD,ACCAD/Female1Running_c3d,482496,120.0,360,3.0,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C27 - crouch to run1_poses.npz,ACCAD,ACCAD/Female1Running_c3d,517232,120.0,386,3.216666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C3 - Run_poses.npz,ACCAD,ACCAD/Female1Running_c3d,272744,120.0,203,1.6916666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C4 - Run to walk1_poses.npz,ACCAD,ACCAD/Female1Running_c3d,568000,120.0,424,3.533333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C5 - walk to run_poses.npz,ACCAD,ACCAD/Female1Running_c3d,869936,120.0,650,5.416666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C6 - stand to run backwards_poses.npz,ACCAD,ACCAD/Female1Running_c3d,1201264,120.0,898,7.483333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C7 -  run backwards_poses.npz,ACCAD,ACCAD/Female1Running_c3d,497192,120.0,371,3.091666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C8 -  run backwards to stand_poses.npz,ACCAD,ACCAD/Female1Running_c3d,708280,120.0,529,4.408333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Running_c3d/C9 -  run backwards turn run forward_poses.npz,ACCAD,ACCAD/Female1Running_c3d,368936,120.0,275,2.2916666666666665,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B1 - stand to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,999528,120.0,747,6.225,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B10 - walk turn left (45)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1270736,120.0,950,7.916666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B11 - walk turn left (135)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1501864,120.0,1123,9.358333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B12 - walk turn right (90)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1245352,120.0,931,7.758333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B13 - walk turn right (45)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1333528,120.0,997,8.308333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B14 - walk turn right (135)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1439072,120.0,1076,8.966666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B15 - walk turn around (same direction)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1702264,120.0,1273,10.608333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B16 - walk turn change direction_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1769064,120.0,1323,11.025,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B17 - walk to hop to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1008880,120.0,754,6.283333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B18 - walk to leap to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,914024,120.0,683,5.691666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B19 - walk to pick up box_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1110416,120.0,830,6.916666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B2 - walk to stand t2_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,787104,120.0,588,4.9,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B2 - walk to stand_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,912688,120.0,682,5.683333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B20 - walk with box_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,688240,120.0,514,4.283333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B21 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1512552,120.0,1131,9.425,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B21 s2 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1841208,120.0,1377,11.475,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B21 s3 - put down box to walk_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1723640,120.0,1289,10.741666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B22 - side step left_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1475144,120.0,1103,9.191666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B23 - side step right_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1336200,120.0,999,8.325,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B24 - walk to crouch_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1135800,120.0,849,7.075,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B25 - crouch to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,950096,120.0,710,5.916666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B27 -skip to walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1081024,120.0,808,6.733333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B3 - walk1_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1223976,120.0,915,7.625,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B4 - stand to walk back_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1211952,120.0,906,7.55,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B5 - walk backwards_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1850560,120.0,1384,11.533333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B6 - walk backwards to stand_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1312152,120.0,981,8.175,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B7 - walk backwards turn forwards_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1389640,120.0,1039,8.658333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Female1Walking_c3d/B9 - walk turn left (90)_poses.npz,ACCAD,ACCAD/Female1Walking_c3d,1139808,120.0,852,7.1,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A1 - Stand_poses.npz,ACCAD,ACCAD/Male1General_c3d,996848,120.0,745,6.208333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A10 -  Lie Down to Crouch_poses.npz,ACCAD,ACCAD/Male1General_c3d,1207936,120.0,903,7.525,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A11 -   Military Crawl Forward_poses.npz,ACCAD,ACCAD/Male1General_c3d,1703592,120.0,1274,10.616666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A12 -   Military Crawl Backwards_poses.npz,ACCAD,ACCAD/Male1General_c3d,2638792,120.0,1974,16.45,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A2 - Sway t2_poses.npz,ACCAD,ACCAD/Male1General_c3d,1503192,120.0,1124,9.366666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A2 - Sway t3_poses.npz,ACCAD,ACCAD/Male1General_c3d,1559304,120.0,1166,9.716666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A2 - Sway_poses.npz,ACCAD,ACCAD/Male1General_c3d,1449752,120.0,1084,9.033333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A3 - Swing Arms While Stand_poses.npz,ACCAD,ACCAD/Male1General_c3d,920696,120.0,688,5.733333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A4 - Look Around_poses.npz,ACCAD,ACCAD/Male1General_c3d,2557296,120.0,1913,15.941666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A5 - Pick Up Box_poses.npz,ACCAD,ACCAD/Male1General_c3d,755032,120.0,564,4.7,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A6 - Lift Box_poses.npz,ACCAD,ACCAD/Male1General_c3d,792440,120.0,592,4.933333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A7 - Crouch_poses.npz,ACCAD,ACCAD/Male1General_c3d,959440,120.0,717,5.975,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A8 -  Crourch to Lie (forward)_poses.npz,ACCAD,ACCAD/Male1General_c3d,1059640,120.0,792,6.6,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A8 - Crouch to Lie Down_poses.npz,ACCAD,ACCAD/Male1General_c3d,1266720,120.0,947,7.891666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A9 -   Lie (forward) t2_poses.npz,ACCAD,ACCAD/Male1General_c3d,1328176,120.0,993,8.275,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A9 -   Lie (forward)_poses.npz,ACCAD,ACCAD/Male1General_c3d,379616,120.0,283,2.3583333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1General_c3d/General A9 -  Lie Down_poses.npz,ACCAD,ACCAD/Male1General_c3d,1865248,120.0,1395,11.625,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Running_c3d/Run C24 - quick side step left_poses.npz,ACCAD,ACCAD/Male1Running_c3d,477144,120.0,356,2.966666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Running_c3d/Run C25 - quick side step right_poses.npz,ACCAD,ACCAD/Male1Running_c3d,533256,120.0,398,3.316666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Male1 Cal_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,482488,120.0,360,3.0,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B10 - Walk turn left 45_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,1352224,120.0,1011,8.425,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B13 - Walk turn right 45_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,1492504,120.0,1116,9.3,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B15 - Walk turn around_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,1827840,120.0,1367,11.391666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B16 - Walk turn change_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,1944072,120.0,1454,12.116666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B17 - Walk 2 hop 2 walk_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,1309472,120.0,979,8.158333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B21 - Put Down Box to walk_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,1117088,120.0,835,6.958333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B22 - Side step left_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,743008,120.0,555,4.625,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B23 - Side step right_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,576008,120.0,430,3.5833333333333335,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male1Walking_c3d/Walk B4 - Stand to Walk Back_poses.npz,ACCAD,ACCAD/Male1Walking_c3d,2079008,120.0,1555,12.958333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A1- Stand_poses.npz,ACCAD,ACCAD/Male2General_c3d,612080,120.0,457,3.808333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A10- Lie to crouch_poses.npz,ACCAD,ACCAD/Male2General_c3d,761712,120.0,569,4.741666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A11- Crawl_poses.npz,ACCAD,ACCAD/Male2General_c3d,2135120,120.0,1597,13.308333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A12- Crawl Backwards_poses.npz,ACCAD,ACCAD/Male2General_c3d,2728304,120.0,2041,17.008333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A2- Sway_poses.npz,ACCAD,ACCAD/Male2General_c3d,1711608,120.0,1280,10.666666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A3- Swing arms_poses.npz,ACCAD,ACCAD/Male2General_c3d,1710272,120.0,1279,10.658333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A4- Look Around_poses.npz,ACCAD,ACCAD/Male2General_c3d,2574664,120.0,1926,16.05,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A5- Pick up box_poses.npz,ACCAD,ACCAD/Male2General_c3d,960776,120.0,718,5.983333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A6- Box lift_poses.npz,ACCAD,ACCAD/Male2General_c3d,1779744,120.0,1331,11.091666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A7- Crouch_poses.npz,ACCAD,ACCAD/Male2General_c3d,709608,120.0,530,4.416666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A8- Crouch to Lie_poses.npz,ACCAD,ACCAD/Male2General_c3d,920696,120.0,688,5.733333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/A9- Lie_poses.npz,ACCAD,ACCAD/Male2General_c3d,501192,120.0,374,3.1166666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2General_c3d/male2 Calibration_poses.npz,ACCAD,ACCAD/Male2General_c3d,482488,120.0,360,3.0,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsExtended_c3d/Extended 1_poses.npz,ACCAD,ACCAD/Male2MartialArtsExtended_c3d,3218616,120.0,2408,20.066666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsExtended_c3d/Extended 2_poses.npz,ACCAD,ACCAD/Male2MartialArtsExtended_c3d,2844536,120.0,2128,17.733333333333334,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsExtended_c3d/Extended 3_poses.npz,ACCAD,ACCAD/Male2MartialArtsExtended_c3d,8499824,120.0,6361,53.00833333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsExtended_c3d/Form 1_poses.npz,ACCAD,ACCAD/Male2MartialArtsExtended_c3d,2970120,120.0,2222,18.516666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G10-  roundhouse leading left_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,421032,120.0,314,2.6166666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G11-  roundhouse leading right_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,535928,120.0,400,3.3333333333333335,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G12-  cresent left_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,443744,120.0,331,2.7583333333333333,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G13-  cresent right_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,418360,120.0,312,2.6,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G14-  roundhouse body left_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,438400,120.0,327,2.725,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G15-  roundhouse body right_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,473136,120.0,353,2.941666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G16-  double kick_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,637464,120.0,476,3.966666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G17-  push kick left_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,730984,120.0,546,4.55,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G18-  push kick right_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,465120,120.0,347,2.8916666666666666,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G19-  reverse spin cresent left t2_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,509208,120.0,380,3.1666666666666665,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G19-  reverse spin cresent left_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,521232,120.0,389,3.2416666666666667,156,10.0,0,0,0
../base_mobileposer/data/raw/AMASS/ACCAD/Male2MartialArtsKicks_c3d/G2 - Sidekick leading left_poses.npz,ACCAD,ACCAD/Male2MartialArtsKicks_c3d,449088,120.0,335,2.7916666666666665,156,10.0,0,0,0
